% fringe_data_nov02.txt
%
% Reformated but otherwise unadjusted version of Margie Weiler's
% 19 November 2002 fringe model parameters.  This is based on
% the September 2002 fringe data except Margie has added amplitude
% and phase values for previously "bad" channels.
%
% Last updated: Scott Hannon, 20 November 2002
%
% ID  LMID M  ind   freq     amplitude      phase        period        beta
%---- ---- -- --- -------- ------------- ------------- ------------- ---------
  156 2222 11 119  694.325 3.3022550e-03 7.0838728e+02 8.5100000e-01 9.200e-05
  157 2221 11 118  694.600 9.7115470e-03 7.0840333e+02 8.5100000e-01 9.200e-05
  158 2220 11 117  694.875 9.0550820e-03 7.0840791e+02 8.5100000e-01 9.200e-05
  159 2219 11 116  695.150 7.2736320e-03 7.0837483e+02 8.5100000e-01 9.200e-05
  160 2218 11 115  695.426 5.7823880e-03 7.0831393e+02 8.5100000e-01 9.200e-05
  161 2217 11 114  695.701 6.3424790e-03 7.0835902e+02 8.5100000e-01 9.200e-05
  162 2216 11 113  695.977 6.8014450e-03 7.0829845e+02 8.5100000e-01 9.200e-05
  163 2215 11 112  696.253 6.3901960e-03 7.0839681e+02 8.5100000e-01 9.200e-05
  164 2214 11 111  696.530 4.4072460e-03 7.0834019e+02 8.5100000e-01 9.200e-05
  165 2213 11 110  696.806 3.2666900e-03 7.0847833e+02 8.5100000e-01 9.200e-05
  166 2212 11 109  697.083 4.7652610e-03 7.0847207e+02 8.5100000e-01 9.200e-05
  167 2211 11 108  697.360 0.0000000e+00 7.0797730e+02 8.5100000e-01 9.200e-05
  168 2210 11 107  697.637 0.0000000e+00 7.0798932e+02 8.5100000e-01 9.200e-05
  169 2209 11 106  697.915 1.8363830e-03 7.0797997e+02 8.5100000e-01 9.200e-05
  170 2208 11 105  698.192 0.0000000e+00 7.0797703e+02 8.5100000e-01 9.200e-05
  171 2207 11 104  698.470 0.0000000e+00 7.0793234e+02 8.5100000e-01 9.200e-05
  172 2206 11 103  698.748 0.0000000e+00 7.0785904e+02 8.5100000e-01 9.200e-05
  173 2205 11 102  699.027 0.0000000e+00 7.0784793e+02 8.5100000e-01 9.200e-05
  174 2204 11 101  699.305 0.0000000e+00 7.0786236e+02 8.5100000e-01 9.200e-05
  175 2203 11 100  699.584 0.0000000e+00 7.0788972e+02 8.5100000e-01 9.200e-05
  176 2202 11  99  699.863 0.0000000e+00 7.0790361e+02 8.5100000e-01 9.200e-05
  177 2201 11  98  700.142 0.0000000e+00 7.0789508e+02 8.5100000e-01 9.200e-05
  178 2200 11  97  700.422 0.0000000e+00 7.0789610e+02 8.5100000e-01 9.200e-05
  179 2199 11  96  700.702 1.2859400e-03 7.0788839e+02 8.5100000e-01 9.200e-05
  180 2198 11  95  700.982 0.0000000e+00 7.0790369e+02 8.5100000e-01 9.200e-05
  181 2197 11  94  701.262 2.7528890e-03 7.0787063e+02 8.5100000e-01 9.200e-05
  182 2196 11  93  701.542 0.0000000e+00 7.0796881e+02 8.5100000e-01 9.200e-05
  183 2195 11  92  701.823 1.2859400e-03 7.0796324e+02 8.5100000e-01 9.200e-05
  184 2194 11  91  702.104 1.2859400e-03 7.0788880e+02 8.5100000e-01 9.200e-05
  185 2193 11  90  702.385 1.4694660e-03 7.0790106e+02 8.5100000e-01 9.200e-05
  186 2192 11  89  702.666 2.3864210e-03 7.0786681e+02 8.5100000e-01 9.200e-05
  187 2191 11  88  702.948 1.2859400e-03 7.0783797e+02 8.5100000e-01 9.200e-05
  188 2190 11  87  703.230 3.8512170e-03 7.0786136e+02 8.5100000e-01 9.200e-05
  189 2189 11  86  703.512 0.0000000e+00 7.0783599e+02 8.5100000e-01 9.200e-05
  190 2188 11  85  703.794 0.0000000e+00 7.0779225e+02 8.5100000e-01 9.200e-05
  191 2187 11  84  704.076 0.0000000e+00 7.0786274e+02 8.5100000e-01 9.200e-05
  192 2186 11  83  704.359 8.6805140e-03 7.0795582e+02 8.5100000e-01 9.200e-05
  193 2185 11  82  704.642 8.6805140e-03 7.0801413e+02 8.5100000e-01 9.200e-05
  194 2184 11  81  704.925 3.4149990e-03 7.0805449e+02 8.5100000e-01 9.200e-05
  195 2183 11  80  705.209 5.0472420e-03 7.0808840e+02 8.5100000e-01 9.200e-05
  196 2182 11  79  705.492 4.2721310e-03 7.0808715e+02 8.5100000e-01 9.200e-05
  197 2181 11  78  705.776 4.7003290e-03 7.0809414e+02 8.5100000e-01 9.200e-05
  198 2180 11  77  706.060 8.0443580e-03 7.0810655e+02 8.5100000e-01 9.200e-05
  199 2179 11  76  706.345 5.8606400e-03 7.0808872e+02 8.5100000e-01 9.200e-05
  200 2178 11  75  706.629 3.3022550e-03 7.0806967e+02 8.5100000e-01 9.200e-05
  201 2177 11  74  706.914 3.8512170e-03 7.0805656e+02 8.5100000e-01 9.200e-05
  202 2176 11  73  707.199 5.1305660e-03 7.0805207e+02 8.5100000e-01 9.200e-05
  203 2175 11  72  707.485 5.4956920e-03 7.0806274e+02 8.5100000e-01 9.200e-05
  204 2174 11  71  707.770 4.5825410e-03 7.0808816e+02 8.5100000e-01 9.200e-05
  205 2173 11  70  708.056 3.4852870e-03 7.0808494e+02 8.5100000e-01 9.200e-05
  206 2172 11  69  708.342 5.6781880e-03 7.0810299e+02 8.5100000e-01 9.200e-05
  207 2171 11  68  708.628 1.2037598e-02 7.0807724e+02 8.5100000e-01 9.200e-05
  208 2170 11  67  708.915 6.5900010e-03 7.0805087e+02 8.5100000e-01 9.200e-05
  209 2169 11  66  709.201 5.3131510e-03 7.0804369e+02 8.5100000e-01 9.200e-05
  210 2168 11  65  709.488 8.0465900e-03 7.0804195e+02 8.5100000e-01 9.200e-05
  211 2167 11  64  709.776 8.5920790e-03 7.0803104e+02 8.5100000e-01 9.200e-05
  212 2166 11  63  710.063 8.9555160e-03 7.0821165e+02 8.5100000e-01 9.200e-05
  213 2165 11  62  710.351 5.6781880e-03 7.0810779e+02 8.5100000e-01 9.200e-05
  214 2164 11  61  710.639 8.7738200e-03 7.0791201e+02 8.5100000e-01 9.200e-05
  215 2163 11  60  710.927 1.8782529e-02 7.0809042e+02 8.5100000e-01 9.200e-05
  216 2162 11  59  711.215 3.8512170e-03 7.0808435e+02 8.5100000e-01 9.200e-05
  217 2161 11  58  711.504 1.1132427e-02 7.0804170e+02 8.5100000e-01 9.200e-05
  218 2160 11  57  711.793 9.1371690e-03 7.0805628e+02 8.5100000e-01 9.200e-05
  219 2159 11  56  712.082 1.4926764e-02 7.0809197e+02 8.5100000e-01 9.200e-05
  220 2158 11  55  712.371 4.7652610e-03 7.0807241e+02 8.5100000e-01 9.200e-05
  221 2157 11  54  712.661 1.0588795e-02 7.0806028e+02 8.5100000e-01 9.200e-05
  222 2156 11  53  712.950 9.6818600e-03 7.0787129e+02 8.5100000e-01 9.200e-05
  223 2155 11  52  713.240 1.8766099e-02 7.0804431e+02 8.5100000e-01 9.200e-05
  224 2154 11  51  713.531 8.9555160e-03 7.0803359e+02 8.5100000e-01 9.200e-05
  225 2153 11  50  713.821 1.7620111e-02 7.0792583e+02 8.5100000e-01 9.200e-05
  226 2152 11  49  714.112 1.6272057e-02 7.0783581e+02 8.5100000e-01 9.200e-05
  227 2151 11  48  714.403 1.4159087e-02 7.0791974e+02 8.5100000e-01 9.200e-05
  228 2150 11  47  714.694 9.8633360e-03 7.0797621e+02 8.5100000e-01 9.200e-05
  229 2149 11  46  714.986 1.1926993e-02 7.0785730e+02 8.5100000e-01 9.200e-05
  230 2148 11  45  715.278 7.3186510e-03 7.0785475e+02 8.5100000e-01 9.200e-05
  231 2147 11  44  715.570 8.4102940e-03 7.0790311e+02 8.5100000e-01 9.200e-05
  232 2146 11  43  715.862 6.4077280e-03 7.0795277e+02 8.5100000e-01 9.200e-05
  233 2145 11  42  716.154 1.8363830e-03 7.0791475e+02 8.5100000e-01 9.200e-05
  234 2144 11  41  716.447 1.1856652e-02 7.0787819e+02 8.5100000e-01 9.200e-05
  235 2143 11  40  716.740 1.0770050e-02 7.0791248e+02 8.5100000e-01 9.200e-05
  236 2142 11  39  717.033 7.5007020e-03 7.0790785e+02 8.5100000e-01 9.200e-05
  237 2141 11  38  717.327 1.0044767e-02 7.0790448e+02 8.5100000e-01 9.200e-05
  238 2140 11  37  717.620 1.3116008e-02 7.0790819e+02 8.5100000e-01 9.200e-05
  239 2139 11  36  717.914 1.6187249e-02 7.0791191e+02 8.5100000e-01 9.200e-05
  240 2138 11  35  718.208 8.7738200e-03 7.0805944e+02 8.5100000e-01 9.200e-05
  241 2137 11  34  718.503 6.2254100e-03 7.0791910e+02 8.5100000e-01 9.200e-05
  242 2136 11  33  718.797 1.2760943e-02 7.0788326e+02 8.5100000e-01 9.200e-05
  243 2135 11  32  719.092 2.0000000e-02 7.0796096e+02 8.5100000e-01 9.200e-05
  244 2134 11  31  719.388 1.0000000e-02 7.0798096e+02 8.5100000e-01 9.200e-05
  245 2133 11  30  719.683 5.6781880e-03 7.0790984e+02 8.5100000e-01 9.200e-05
  246 2132 11  29  719.979 1.7445596e-02 7.0780872e+02 8.5100000e-01 9.200e-05
  247 2131 11  28  720.274 1.6726802e-02 7.0798628e+02 8.5100000e-01 9.200e-05
  248 2130 11  27  720.571 1.4566232e-02 7.0798044e+02 8.5100000e-01 9.200e-05
  249 2129 11  26  720.867 1.0000000e-02 7.0792096e+02 8.5100000e-01 9.200e-05
  250 2128 11  25  721.164 1.6906566e-02 7.0779995e+02 8.5100000e-01 9.200e-05
  251 2127 11  24  721.460 2.8000000e-02 7.0792096e+02 8.5100000e-01 9.200e-05
  252 2126 11  23  721.758 2.4061563e-02 7.0797583e+02 8.5100000e-01 9.200e-05
  253 2125 11  22  722.055 1.2760943e-02 7.0783898e+02 8.5100000e-01 9.200e-05
  254 2124 11  21  722.353 3.8000000e-02 7.0780096e+02 8.5100000e-01 9.200e-05
  255 2123 11  20  722.650 4.4945252e-02 7.0793846e+02 8.5100000e-01 9.200e-05
  256 2122 11  19  722.949 2.9382668e-02 7.0793223e+02 8.5100000e-01 9.200e-05
  257 2121 11  18  723.247 2.8239786e-02 7.0779844e+02 8.5100000e-01 9.200e-05
  258 2120 11  17  723.546 4.3053734e-02 7.0780333e+02 8.5100000e-01 9.200e-05
  259 2119 11  16  723.844 4.9975447e-02 7.0791230e+02 8.5100000e-01 9.200e-05
  260 2118 11  15  724.143 3.8515593e-02 7.0787017e+02 8.5100000e-01 9.200e-05
  261 2117 11  14  724.443 3.5191744e-02 7.0774352e+02 8.5100000e-01 9.200e-05
  262 2116 11  13  724.742 6.6000000e-02 7.0777096e+02 8.5100000e-01 9.200e-05
  263 2115 11  12  725.042 5.5000000e-02 7.0785096e+02 8.5100000e-01 9.200e-05
  264 2114 11  11  725.342 4.6328017e-02 7.0777472e+02 8.5100000e-01 9.200e-05
  265 2113 11  10  725.643 5.2476769e-02 7.0774739e+02 8.5100000e-01 9.200e-05
  266 2112 11   9  725.943 6.8000000e-02 7.0776096e+02 8.5100000e-01 9.200e-05
  267 2111 11   8  726.244 5.5000000e-02 7.0780096e+02 8.5100000e-01 9.200e-05
